State,District Name,Received,Resolved,Order Type,Region,History of Slavery
OH,Brookfield Local Sd,2008-10-16,2010-03-05,Voluntary,Midwest,Free State
FL,Broward County School District,2012-02-28,2012-08-23,Voluntary,Southeast,Slave State
GA,Bryan County,2012-08-29,2013-03-15,Voluntary,Southeast,Slave State
CO,Burlington          Re-6J,2013-07-23,2014-02-04,Voluntary,West,Territory
MD,Calvert County Public Schools,2012-03-12,2012-08-29,Voluntary,Southeast,Border State
KS,Caney Valley U.S.D. #436,2009-05-21,2009-10-23,Voluntary,Midwest,Free State
DC,Capital City Public Charter School,2012-08-20,2013-02-06,Voluntary,,Territory
PA,Carnegie Mellon University,2003-04-16,2008-06-23,Voluntary,Northeast,Free State
AZ,Cartwright Elementary District,2013-04-22,2013-11-04,Voluntary,Southwest,Territory
AZ,Cartwright Elementary District,2003-11-03,2005-12-09,Voluntary,Southwest,Territory
MI,Cassopolis Public Schools,2008-09-24,2011-08-25,Voluntary,Midwest,Free State
CA,Castro Valley Unified,2013-04-04,2013-09-27,Voluntary,West,Free State
NC,Catawba County Schools,2012-07-12,2012-12-26,Voluntary,Southeast,Slave State
CA,Centinela Valley Union High,2010-09-10,2012-06-22,Voluntary,West,Free State
AZ,Central Arizona College,2012-02-03,2012-09-10,Voluntary,Southwest,Territory
RI,Central Falls Sch Dist,2010-11-22,2011-05-20,Voluntary,Northeast,Free State
MI,Cesar Chavez Academy,2011-10-11,2012-09-19,Voluntary,Midwest,Free State
CA,Chabot College,2010-12-09,2011-06-03,Voluntary,West,Free State
KS,Chase County U.S.D. #284,2013-10-31,2014-05-12,Voluntary,Midwest,Free State
IL,Chgo. City Colleges-Community College District 50,2011-05-20,2012-02-24,Voluntary,Midwest,Free State
MA,Chicopee,2012-02-29,2013-06-11,Voluntary,Northeast,Free State
KY,Christian County Schools,2011-03-09,2014-02-28,Voluntary,,Border State
IN,Christian Theological Seminary,2013-07-23,2014-03-31,Voluntary,Midwest,Free State
DE,Christina School District,2010-03-19,2012-12-14,Voluntary,Southeast,Border State
IL,Cicero School District 99,1996-11-06,1999-01-26,Voluntary,Midwest,Free State
NE,Clarkson College,2004-01-26,2006-03-27,Voluntary,Midwest,Free State
TN,Clarksville-Montgomery County,2010-09-24,2012-09-26,Voluntary,Southeast,Slave State
FL,Clay County School District,2010-03-09,2011-03-25,Voluntary,Southeast,Slave State
OH,Cleveland Metropolitan School District,2008-09-16,2011-09-15,Voluntary,Midwest,Free State
OH,Cleveland Metropolitan School District,2011-05-18,2014-01-07,Voluntary,Midwest,Free State
NJ,Clifton School District,2010-06-30,2012-02-15,Voluntary,Northeast,Free State
CA,Coachella Valley Unified,2012-02-03,2013-03-28,Voluntary,West,Free State
LA,Collegiate Academies,2013-08-02,2014-05-22,Voluntary,Southeast,Slave State
DE,Colonial School District,2012-10-25,2014-05-06,Voluntary,Southeast,Border State
MO,Colorado Technical University,2010-12-20,2011-06-14,Voluntary,Midwest,Border State
IL,Columbia College Chicago,2013-07-23,2014-02-04,Voluntary,Midwest,Free State
MS,Columbus Municipal School District,2010-06-07,2011-02-24,Voluntary,Southeast,Slave State
OH,Columbus Preparatory Academy,2011-04-19,2011-10-14,Voluntary,Midwest,Free State
AL,Conecuh County Sch Dist,2009-12-15,2010-12-21,Voluntary,Southeast,Slave State
MO,Confluence Academies,2013-04-15,2014-02-06,Voluntary,Midwest,Border State
CA,Corona-Norco Unified,2011-11-30,2013-03-28,Voluntary,West,Free State
CT,Ct Dept Ed,2009-06-12,2009-12-09,Voluntary,Northeast,Free State
NY,Cuny Hunter College,2012-11-16,2013-10-24,Voluntary,Northeast,Free State
CA,Cupertino Union Elementary,2013-06-13,2013-12-23,Voluntary,West,Free State
IA,Davenport Comm School District,2010-03-11,2012-02-23,Voluntary,Midwest,Free State
KS,De Soto U.S.D. #232,2009-04-09,2009-09-25,Voluntary,Midwest,Free State
MI,Dearborn City School District,2010-03-31,2012-05-30,Voluntary,Midwest,Free State
GA,Dekalb County,2012-02-15,2012-12-21,Voluntary,Southeast,Slave State
GA,Dekalb County,2011-02-21,2013-07-29,Voluntary,Southeast,Slave State
AR,Dequeen,2010-03-16,2012-12-06,Voluntary,Southeast,Slave State
IA,Des Moines Independent Community School Distri,1997-04-14,1998-04-20,Voluntary,Midwest,Free State
LA,Desoto Parish School Board,2012-04-20,2013-03-01,Voluntary,Southeast,Slave State
SC,Dorchester County 02,2012-11-05,2013-09-30,Voluntary,Southeast,Slave State
CO,Douglas County School District Re 1,2011-03-09,2012-10-29,Voluntary,West,Territory
CO,Douglas County School District Re 1,2011-01-20,2012-10-29,Voluntary,West,Territory
OK,Dover Public Schools,2011-10-04,2012-04-13,Voluntary,Southwest,Territory
NC,Duke University,2010-09-13,2011-05-16,Voluntary,Southeast,Slave State
FL,Duval County School District,2013-01-07,2013-08-19,Voluntary,Southeast,Slave State
LA,East Baton Rouge Parish School Board,2012-05-29,2013-06-20,Voluntary,Southeast,Slave State
CT,East Haven Board Of Education,2010-11-12,2011-05-11,Voluntary,Northeast,Free State
CO,East Otero          R-1,2003-05-19,2006-01-20,Voluntary,West,Territory
RI,East Providence Sch Dist,2009-03-27,2010-02-17,Voluntary,Northeast,Free State
