District Name,State,Year Lifted,Year Placed,Order Type,Region
Kirkwood R-Vii,MO,1999,Unknown year,Involuntary,Midwest
Klein Isd,TX,2008,Unknown year,Involuntary,Southwest
Knox County,TN,1967,Unknown year,Involuntary,Southeast
Kosciusko School District,MS,STILL OPEN,1970,Involuntary,Southeast
La Vega Isd,TX,2007,Unknown year,Involuntary,Southwest
Ladue,MO,1999,Unknown year,Involuntary,Midwest
Lafayette,FL,2009,Unknown year,Involuntary,Southeast
Lafayette Co School Dist,MS,1989,Unknown year,Involuntary,Southeast
Lafayette Co. C-1,MO,1989,Unknown year,Involuntary,Midwest
Lafayette Parish,LA,2006,Unknown year,Involuntary,Southeast
Lafourche Parish,LA,STILL OPEN,1967,Involuntary,Southeast
Lake Forest School District,DE,STILL OPEN,1957,Involuntary,Southeast
Lake Ridge Schools,IN,STILL OPEN,1963,Involuntary,Midwest
Lamar County,AL,STILL OPEN,1963,Involuntary,Southeast
Lamar County,GA,2007,Unknown year,Involuntary,Southeast
Lanett City,AL,STILL OPEN,1963,Involuntary,Southeast
Lansing Public School District,MI,STILL OPEN,1973,Involuntary,Midwest
Lasalle Parish,LA,STILL OPEN,1966,Involuntary,Southeast
Lauderdale Co School Dist,MS,STILL OPEN,1969,Involuntary,Southeast
Lauderdale County,AL,STILL OPEN,1963,Involuntary,Southeast
Laurel School District,MS,STILL OPEN,1970,Involuntary,Southeast
Laurens County,GA,2008,Unknown year,Involuntary,Southeast
Lawrence Co School Dist,MS,STILL OPEN,1969,Involuntary,Southeast
Lawrence County,AL,STILL OPEN,1977,Involuntary,Southeast
Leake Co School Dist,MS,STILL OPEN,1969,Involuntary,Southeast
Lebanon,TN,STILL OPEN,1970,Involuntary,Southeast
Lee,FL,1999,Unknown year,Involuntary,Southeast
Lee 01,SC,2001,Unknown year,Involuntary,Southeast
Lee County,GA,2009,Unknown year,Involuntary,Southeast
Lee County,AL,2005,Unknown year,Involuntary,Southeast
Leeds City,AL,STILL OPEN,1963,Involuntary,Southeast
Leflore Co School Dist,MS,2005,Unknown year,Involuntary,Southeast
Lenoir County Public Schools,NC,STILL OPEN,Unknown year,Involuntary,Southeast
Leon,FL,1974,Unknown year,Involuntary,Southeast
Lexington 01,SC,2005,Unknown year,Involuntary,Southeast
Lexington 04,SC,STILL OPEN,1966,Involuntary,Southeast
Liberty 53,MO,2003,Unknown year,Involuntary,Midwest
Lima City,OH,1999,Unknown year,Involuntary,Midwest
Limestone County,AL,STILL OPEN,1963,Involuntary,Southeast
Lincoln Co School Dist,MS,STILL OPEN,1969,Involuntary,Southeast
Lincoln County,GA,STILL OPEN,1968,Involuntary,Southeast
Lincoln Parish,LA,STILL OPEN,1966,Involuntary,Southeast
Lindbergh Schools,MO,1999,Unknown year,Involuntary,Midwest
Linden City,AL,1977,Unknown year,Involuntary,Southeast
Little Rock School District,AR,2007,Unknown year,Involuntary,Southeast
Livingston Parish,LA,2001,Unknown year,Involuntary,Southeast
Long County,GA,2003,Unknown year,Involuntary,Southeast
